sample pop super_pop gender batch
HG00476 CHS EAS female 4
HG00478 CHS EAS male 10
HG00479 CHS EAS female 3
HG00500 CHS EAS male 5
HG00513 CHS EAS female 4
HG00524 CHS EAS male 1
HG00525 CHS EAS female 3
HG00530 CHS EAS male 8
HG00531 CHS EAS female 4
HG00533 CHS EAS male 7
HG00534 CHS EAS female 6
HG00536 CHS EAS male 7
HG00537 CHS EAS female 9
HG00542 CHS EAS male 2
HG00543 CHS EAS female 8
HG00551 PUR AMR female 4
HG00553 PUR AMR male 6
HG00554 PUR AMR female 4
HG00556 CHS EAS male 10
HG00557 CHS EAS female 8
HG00559 CHS EAS male 3
HG00560 CHS EAS female 1
HG00565 CHS EAS male 4
HG00566 CHS EAS female 7
HG00580 CHS EAS male 2
HG00581 CHS EAS female 5
HG00583 CHS EAS male 9
HG00584 CHS EAS female 10
HG00589 CHS EAS male 6
HG00590 CHS EAS female 1
HG00592 CHS EAS male 6
HG00593 CHS EAS female 5
HG00595 CHS EAS male 7
HG00596 CHS EAS female 3
HG00598 CHS EAS male 5
HG00599 CHS EAS female 9
HG00607 CHS EAS male 2
HG00608 CHS EAS female 7
HG00610 CHS EAS male 10
HG00611 CHS EAS female 1
HG00613 CHS EAS male 5
HG00614 CHS EAS female 9
HG00619 CHS EAS male 2
HG00620 CHS EAS female 8
HG00622 CHS EAS male 8
HG00623 CHS EAS female 1
HG00625 CHS EAS male 4
HG00626 CHS EAS female 1
HG00628 CHS EAS male 5
HG00629 CHS EAS female 9
HG00631 CHS EAS male 3
HG00632 CHS EAS female 3
HG00634 CHS EAS male 6
HG00637 PUR AMR male 10
HG00638 PUR AMR female 6
HG00640 PUR AMR male 5
HG00641 PUR AMR female 9
HG00650 CHS EAS male 4
HG00651 CHS EAS female 6
HG00653 CHS EAS male 3
HG00654 CHS EAS female 7
HG00656 CHS EAS male 6
HG00657 CHS EAS female 3
HG00662 CHS EAS male 4
HG00663 CHS EAS female 2
HG00671 CHS EAS male 10
HG00672 CHS EAS female 3
HG00674 CHS EAS male 7
HG00675 CHS EAS female 9
HG00683 CHS EAS male 8
HG00684 CHS EAS female 5
HG00689 CHS EAS male 4
HG00690 CHS EAS female 10
HG00692 CHS EAS male 5
HG00693 CHS EAS female 5
HG00698 CHS EAS male 10
HG00699 CHS EAS female 10
HG00701 CHS EAS male 4
HG00704 CHS EAS male 9
HG00705 CHS EAS female 8
HG00707 CHS EAS male 10
HG00708 CHS EAS female 9
HG00717 CHS EAS female 1
HG00728 CHS EAS male 10
HG00729 CHS EAS female 6
HG00731 PUR AMR male 2
HG00732 PUR AMR female 10
HG00734 PUR AMR female 6
HG00736 PUR AMR male 7
HG00737 PUR AMR female 9
HG00739 PUR AMR male 6
HG00740 PUR AMR female 2
HG00742 PUR AMR male 7
HG00743 PUR AMR female 1
HG00759 CDX EAS female 6
HG00766 CDX EAS female 1
HG00844 CDX EAS male 5
HG00851 CDX EAS female 7
HG00864 CDX EAS female 9
HG00867 CDX EAS female 8
HG00879 CDX EAS female 8
HG00881 CDX EAS male 10
HG00956 CDX EAS female 10
HG00978 CDX EAS female 2
HG00982 CDX EAS male 8
HG01028 CDX EAS male 4
HG01029 CDX EAS female 6
HG01031 CDX EAS male 1
HG01046 CDX EAS female 3
HG01047 PUR AMR male 10
HG01048 PUR AMR male 2
HG01049 PUR AMR female 8
HG01051 PUR AMR male 7
HG01052 PUR AMR female 4
HG01054 PUR AMR male 9
HG01055 PUR AMR female 3
HG01058 PUR AMR female 10
HG01060 PUR AMR male 1
HG01061 PUR AMR female 1
HG01063 PUR AMR male 3
HG01064 PUR AMR female 10
HG01066 PUR AMR male 8
HG01067 PUR AMR female 1
HG01069 PUR AMR male 6
HG01070 PUR AMR female 9
HG01072 PUR AMR male 6
HG01073 PUR AMR female 8
HG01075 PUR AMR male 3
HG01077 PUR AMR female 3
HG01079 PUR AMR male 9
HG01080 PUR AMR female 1
HG01082 PUR AMR male 9
HG01083 PUR AMR female 4
HG01085 PUR AMR male 5
HG01086 PUR AMR female 7
HG01088 PUR AMR male 2
HG01089 PUR AMR female 3
HG01092 PUR AMR female 8
HG01094 PUR AMR male 6
HG01095 PUR AMR female 2
HG01097 PUR AMR male 9
HG01098 PUR AMR female 7
HG01101 PUR AMR male 10
HG01102 PUR AMR female 4
HG01104 PUR AMR male 8
HG01105 PUR AMR female 5
HG01107 PUR AMR male 10
HG01108 PUR AMR female 2
HG01110 PUR AMR male 5
HG01111 PUR AMR female 5
HG01112 CLM AMR male 9
HG01113 CLM AMR female 2
HG01119 CLM AMR female 2
HG01121 CLM AMR male 4
HG01122 CLM AMR female 2
HG01124 CLM AMR male 1
HG01125 CLM AMR female 3
HG01130 CLM AMR male 10
HG01131 CLM AMR female 2
HG01133 CLM AMR male 5
HG01134 CLM AMR female 1
HG01136 CLM AMR male 9
HG01137 CLM AMR female 2
HG01139 CLM AMR male 3
HG01140 CLM AMR female 8
HG01142 CLM AMR male 7
HG01148 CLM AMR male 4
HG01149 CLM AMR female 4
HG01161 PUR AMR male 7
HG01162 PUR AMR female 10
HG01164 PUR AMR male 4
HG01167 PUR AMR male 3
HG01168 PUR AMR female 8
HG01170 PUR AMR male 8
HG01171 PUR AMR female 4
HG01173 PUR AMR male 6
HG01174 PUR AMR female 5
HG01176 PUR AMR male 3
HG01177 PUR AMR female 3
HG01182 PUR AMR male 1
HG01183 PUR AMR female 10
HG01187 PUR AMR male 7
HG01188 PUR AMR female 9
HG01190 PUR AMR male 8
HG01191 PUR AMR female 5
HG01197 PUR AMR male 8
HG01198 PUR AMR female 9
HG01200 PUR AMR male 2
HG01204 PUR AMR male 5
HG01205 PUR AMR female 3
HG01241 PUR AMR male 9
HG01242 PUR AMR female 5
HG01247 PUR AMR male 7
HG01248 PUR AMR female 4
HG01250 CLM AMR male 8
HG01251 CLM AMR female 10
HG01253 CLM AMR male 4
HG01254 CLM AMR female 5
HG01256 CLM AMR male 9
HG01257 CLM AMR female 7
HG01259 CLM AMR male 8
HG01260 CLM AMR female 6
HG01269 CLM AMR female 3
HG01271 CLM AMR male 10
HG01272 CLM AMR female 5
HG01275 CLM AMR female 4
HG01277 CLM AMR male 6
HG01280 CLM AMR male 10
HG01281 CLM AMR female 9
HG01284 CLM AMR female 6
HG01286 PUR AMR male 8
HG01302 PUR AMR male 10
HG01303 PUR AMR female 2
HG01305 PUR AMR male 6
HG01308 PUR AMR male 2
HG01311 PUR AMR male 4
HG01312 PUR AMR female 5
HG01323 PUR AMR female 10
HG01325 PUR AMR male 2
HG01326 PUR AMR female 7
HG01334 GBR EUR male 3
HG01341 CLM AMR male 6
HG01342 CLM AMR female 1
HG01344 CLM AMR male 10
HG01345 CLM AMR female 8
HG01348 CLM AMR female 7
HG01350 CLM AMR male 7
HG01351 CLM AMR female 3
HG01353 CLM AMR male 9
HG01354 CLM AMR female 10
HG01356 CLM AMR male 6
HG01357 CLM AMR female 6
HG01359 CLM AMR male 8
HG01360 CLM AMR female 1
HG01362 CLM AMR male 8
HG01363 CLM AMR female 6
HG01365 CLM AMR male 7
HG01366 CLM AMR female 4
HG01369 CLM AMR female 1
HG01372 CLM AMR female 10
HG01374 CLM AMR male 4
HG01375 CLM AMR female 8
HG01377 CLM AMR male 5
HG01378 CLM AMR female 1
HG01383 CLM AMR male 9
HG01384 CLM AMR female 3
HG01389 CLM AMR male 1
HG01390 CLM AMR female 5
HG01392 PUR AMR male 10
HG01393 PUR AMR female 1
HG01395 PUR AMR male 1
HG01396 PUR AMR female 1
HG01398 PUR AMR male 10
HG01402 PUR AMR male 1
HG01403 PUR AMR female 6
HG01405 PUR AMR male 10
HG01412 PUR AMR male 7
HG01413 PUR AMR male 3
HG01414 PUR AMR female 4
HG01431 CLM AMR male 7
HG01432 CLM AMR female 9
HG01435 CLM AMR female 3
HG01437 CLM AMR male 7
HG01438 CLM AMR female 9
HG01440 CLM AMR male 2
HG01441 CLM AMR female 7
HG01443 CLM AMR male 4
HG01444 CLM AMR female 10
HG01447 CLM AMR female 3
HG01455 CLM AMR male 7
HG01456 CLM AMR female 3
HG01459 CLM AMR female 9
HG01461 CLM AMR male 4
HG01462 CLM AMR female 6
HG01464 CLM AMR male 6
HG01465 CLM AMR female 5
HG01468 CLM AMR female 8
HG01474 CLM AMR female 3
HG01479 CLM AMR male 5
HG01485 CLM AMR male 2
HG01486 CLM AMR female 5
HG01488 CLM AMR male 10
HG01489 CLM AMR female 10
HG01491 CLM AMR male 10
HG01492 CLM AMR female 2
HG01494 CLM AMR male 10
HG01495 CLM AMR female 1
HG01497 CLM AMR male 2
HG01498 CLM AMR female 1
HG01500 IBS EUR male 5
HG01501 IBS EUR female 3
HG01503 IBS EUR male 7
HG01504 IBS EUR female 7
HG01506 IBS EUR male 5
HG01507 IBS EUR female 5
HG01509 IBS EUR male 3
