sample pop super_pop gender batch
HG02406 CDX EAS male 2
HG02407 CDX EAS male 3
HG02408 CDX EAS male 2
HG02409 CDX EAS male 7
HG02410 CDX EAS male 5
HG02419 ACB AFR female 5
HG02420 ACB AFR male 8
HG02425 PEL AMR female 2
HG02427 ACB AFR female 2
HG02429 ACB AFR male 7
HG02433 ACB AFR male 3
HG02439 ACB AFR male 4
HG02442 ACB AFR male 5
HG02445 ACB AFR male 4
HG02449 ACB AFR male 7
HG02450 ACB AFR female 4
HG02455 ACB AFR male 3
HG02461 GWD AFR male 3
HG02462 GWD AFR female 6
HG02464 GWD AFR male 1
HG02465 GWD AFR female 1
HG02470 ACB AFR male 2
HG02471 ACB AFR female 9
HG02476 ACB AFR female 10
HG02477 ACB AFR female 1
HG02479 ACB AFR female 1
HG02481 ACB AFR male 7
HG02484 ACB AFR male 1
HG02485 ACB AFR female 4
HG02489 ACB AFR male 3
HG02490 PJL SAS male 4
HG02491 PJL SAS female 8
HG02493 PJL SAS male 3
HG02494 PJL SAS female 4
HG02496 ACB AFR male 9
HG02497 ACB AFR female 7
HG02501 ACB AFR male 10
HG02502 ACB AFR female 9
HG02505 ACB AFR female 1
HG02508 ACB AFR female 8
HG02511 ACB AFR female 7
HG02512 KHV EAS male 7
HG02513 KHV EAS female 6
HG02521 KHV EAS male 1
HG02522 KHV EAS female 8
HG02536 ACB AFR male 7
HG02537 ACB AFR female 5
HG02541 ACB AFR male 6
HG02545 ACB AFR male 6
HG02546 ACB AFR female 5
HG02549 ACB AFR female 4
HG02554 ACB AFR male 6
HG02555 ACB AFR female 4
HG02557 ACB AFR male 10
HG02558 ACB AFR female 2
HG02561 GWD AFR male 8
HG02562 GWD AFR female 1
HG02568 GWD AFR female 8
HG02570 GWD AFR male 3
HG02571 GWD AFR female 7
HG02573 GWD AFR male 7
HG02574 GWD AFR female 2
HG02577 ACB AFR female 7
HG02580 ACB AFR female 2
HG02582 GWD AFR male 10
HG02583 GWD AFR female 7
HG02585 GWD AFR male 2
HG02586 GWD AFR female 7
HG02588 GWD AFR male 4
HG02589 GWD AFR female 7
HG02594 GWD AFR male 2
HG02595 GWD AFR female 9
HG02597 PJL SAS male 3
HG02600 PJL SAS male 6
HG02601 PJL SAS female 4
HG02603 PJL SAS male 7
HG02604 PJL SAS female 8
HG02610 GWD AFR male 3
HG02611 GWD AFR female 2
HG02613 GWD AFR male 9
HG02614 GWD AFR female 2
HG02620 GWD AFR male 5
HG02621 GWD AFR female 6
HG02623 GWD AFR male 3
HG02624 GWD AFR female 3
HG02628 GWD AFR male 1
HG02629 GWD AFR female 7
HG02634 GWD AFR male 1
HG02635 GWD AFR female 9
HG02642 GWD AFR male 4
HG02643 GWD AFR female 4
HG02645 GWD AFR male 5
HG02646 GWD AFR female 5
HG02648 PJL SAS male 1
HG02649 PJL SAS female 7
HG02651 PJL SAS male 1
HG02652 PJL SAS female 6
HG02654 PJL SAS male 9
HG02655 PJL SAS female 3
HG02657 PJL SAS male 9
HG02658 PJL SAS female 10
HG02660 PJL SAS male 1
HG02661 PJL SAS female 7
HG02666 GWD AFR male 10
HG02667 GWD AFR female 1
HG02675 GWD AFR male 5
HG02676 GWD AFR female 7
HG02678 GWD AFR male 4
HG02679 GWD AFR female 10
HG02681 PJL SAS male 1
HG02682 PJL SAS female 2
HG02684 PJL SAS male 7
HG02685 PJL SAS female 6
HG02687 PJL SAS male 5
HG02688 PJL SAS female 3
HG02690 PJL SAS male 6
HG02691 PJL SAS female 4
HG02694 PJL SAS female 4
HG02696 PJL SAS male 5
HG02697 PJL SAS female 10
HG02699 PJL SAS male 7
HG02700 PJL SAS female 4
HG02702 GWD AFR male 4
HG02703 GWD AFR female 10
HG02715 GWD AFR male 4
HG02716 GWD AFR female 7
HG02721 GWD AFR male 8
HG02722 GWD AFR female 2
HG02724 PJL SAS male 1
HG02725 PJL SAS female 5
HG02727 PJL SAS male 5
HG02728 PJL SAS female 2
HG02731 PJL SAS female 2
HG02733 PJL SAS male 4
HG02734 PJL SAS female 1
HG02736 PJL SAS male 6
HG02737 PJL SAS female 10
HG02756 GWD AFR male 5
HG02757 GWD AFR female 7
HG02759 GWD AFR male 8
HG02760 GWD AFR female 10
HG02763 GWD AFR female 2
HG02768 GWD AFR male 4
HG02769 GWD AFR female 6
HG02771 GWD AFR male 3
HG02772 GWD AFR female 9
HG02774 PJL SAS male 1
HG02775 PJL SAS female 9
HG02778 PJL SAS female 7
HG02780 PJL SAS male 4
HG02783 PJL SAS male 8
HG02784 PJL SAS female 9
HG02786 PJL SAS male 2
HG02787 PJL SAS female 7
HG02789 PJL SAS male 2
HG02790 PJL SAS female 4
HG02792 PJL SAS male 5
HG02793 PJL SAS female 8
HG02798 GWD AFR male 5
HG02799 GWD AFR female 6
HG02804 GWD AFR male 5
HG02805 GWD AFR female 2
HG02807 GWD AFR male 1
HG02808 GWD AFR female 9
HG02810 GWD AFR male 9
HG02811 GWD AFR female 3
HG02813 GWD AFR male 10
HG02814 GWD AFR female 9
HG02816 GWD AFR male 8
HG02817 GWD AFR female 10
HG02819 GWD AFR male 10
HG02820 GWD AFR female 5
HG02836 GWD AFR male 8
HG02837 GWD AFR female 8
HG02839 GWD AFR male 6
HG02840 GWD AFR female 8
HG02851 GWD AFR male 3
HG02852 GWD AFR female 8
HG02854 GWD AFR male 10
HG02855 GWD AFR female 4
HG02860 GWD AFR male 10
HG02861 GWD AFR female 10
HG02870 GWD AFR female 9
HG02878 GWD AFR male 2
HG02879 GWD AFR female 10
HG02881 GWD AFR male 4
HG02882 GWD AFR female 1
HG02884 GWD AFR male 5
HG02885 GWD AFR female 8
HG02887 GWD AFR male 6
HG02888 GWD AFR female 6
HG02890 GWD AFR male 3
HG02891 GWD AFR female 3
HG02895 GWD AFR male 9
HG02896 GWD AFR female 7
HG02922 ESN AFR female 7
HG02923 ESN AFR male 8
HG02938 ESN AFR male 4
HG02941 ESN AFR male 9
HG02943 ESN AFR female 3
HG02944 ESN AFR male 10
HG02946 ESN AFR female 8
HG02947 ESN AFR male 10
HG02952 ESN AFR female 6
HG02953 ESN AFR male 2
HG02968 ESN AFR male 6
HG02970 ESN AFR female 6
HG02971 ESN AFR male 5
HG02973 ESN AFR male 6
HG02974 ESN AFR female 10
HG02976 ESN AFR female 8
HG02977 ESN AFR male 10
HG02979 ESN AFR female 2
HG02981 ESN AFR male 10
HG02982 GWD AFR male 6
HG02983 GWD AFR female 1
HG03006 BEB SAS male 1
HG03007 BEB SAS female 8
HG03009 BEB SAS male 6
HG03012 BEB SAS male 7
HG03015 PJL SAS male 1
HG03016 PJL SAS female 9
HG03018 PJL SAS male 2
HG03019 PJL SAS female 6
HG03021 PJL SAS male 5
HG03022 PJL SAS female 7
HG03024 GWD AFR male 6
HG03025 GWD AFR female 6
HG03027 GWD AFR male 7
HG03028 GWD AFR female 9
HG03039 GWD AFR male 9
HG03040 GWD AFR female 10
HG03045 GWD AFR male 10
HG03046 GWD AFR female 1
HG03048 GWD AFR male 1
HG03049 GWD AFR female 4
HG03052 MSL AFR female 8
HG03054 MSL AFR male 7
HG03055 MSL AFR female 10
HG03057 MSL AFR male 4
HG03058 MSL AFR female 10
HG03060 MSL AFR male 6
HG03061 MSL AFR female 1
HG03063 MSL AFR male 2
HG03064 MSL AFR female 4
HG03066 MSL AFR male 1
HG03069 MSL AFR male 7
HG03072 MSL AFR male 4
HG03073 MSL AFR female 9
HG03074 MSL AFR male 5
HG03077 MSL AFR male 1
HG03078 MSL AFR male 10
HG03079 MSL AFR female 10
HG03081 MSL AFR male 2
HG03082 MSL AFR female 2
HG03084 MSL AFR male 3
HG03085 MSL AFR female 4
HG03086 MSL AFR female 1
HG03088 MSL AFR female 6
HG03091 MSL AFR female 9
HG03095 MSL AFR female 9
HG03096 MSL AFR male 4
HG03097 MSL AFR female 2
HG03099 ESN AFR female 6
HG03100 ESN AFR male 3
HG03103 ESN AFR male 7
HG03105 ESN AFR female 8
HG03108 ESN AFR female 2
HG03109 ESN AFR male 8
HG03111 ESN AFR female 7
HG03112 ESN AFR male 3
HG03114 ESN AFR female 7
HG03115 ESN AFR male 2
HG03117 ESN AFR female 1
HG03118 ESN AFR male 6
HG03120 ESN AFR male 9
HG03121 ESN AFR female 5
HG03123 ESN AFR female 4
HG03124 ESN AFR male 5
HG03126 ESN AFR female 7
HG03127 ESN AFR male 8
HG03129 ESN AFR female 3
HG03130 ESN AFR male 1
HG03132 ESN AFR female 2
HG03133 ESN AFR male 2
HG03135 ESN AFR female 8
HG03136 ESN AFR male 3
HG03139 ESN AFR male 4
HG03157 ESN AFR male 4
HG03159 ESN AFR female 9
HG03160 ESN AFR male 9
HG03162 ESN AFR female 4
HG03163 ESN AFR male 10
HG03166 ESN AFR male 2
HG03168 ESN AFR female 7
HG03169 ESN AFR male 9
HG03172 ESN AFR male 10
HG03175 ESN AFR male 6
HG03189 ESN AFR female 4
HG03190 ESN AFR male 3
HG03193 ESN AFR male 7
HG03195 ESN AFR female 4
HG03196 ESN AFR male 3
HG03198 ESN AFR female 4
HG03199 ESN AFR male 2
HG03202 ESN AFR male 5
HG03209 MSL AFR male 8
HG03212 MSL AFR female 8
HG03224 MSL AFR male 1
HG03225 MSL AFR male 3
HG03228 PJL SAS male 8
HG03229 PJL SAS female 7
HG03234 PJL SAS male 9
HG03235 PJL SAS female 10
HG03237 PJL SAS male 9
HG03238 PJL SAS female 9
HG03240 GWD AFR male 8
HG03241 GWD AFR female 5
HG03246 GWD AFR male 5
HG03247 GWD AFR female 2
HG03258 GWD AFR male 4
HG03259 GWD AFR female 6
HG03265 ESN AFR male 1
HG03267 ESN AFR female 9
HG03268 ESN AFR male 3
HG03270 ESN AFR female 6
HG03271 ESN AFR male 5
HG03279 ESN AFR female 8
HG03280 ESN AFR male 1
HG03291 ESN AFR female 7
HG03294 ESN AFR female 9
HG03295 ESN AFR male 7
HG03297 ESN AFR female 10
HG03298 ESN AFR male 1
HG03300 ESN AFR female 8
HG03301 ESN AFR male 8
HG03303 ESN AFR female 10
HG03304 ESN AFR male 5
HG03311 ESN AFR male 6
HG03313 ESN AFR male 3
HG03342 ESN AFR female 1
HG03343 ESN AFR male 4
HG03351 ESN AFR female 9
HG03352 ESN AFR male 9
HG03354 ESN AFR female 6
HG03363 ESN AFR female 1
HG03366 ESN AFR female 7
HG03367 ESN AFR male 2
HG03369 ESN AFR female 1
HG03370 ESN AFR male 4
HG03372 ESN AFR female 3
HG03376 MSL AFR male 3
HG03378 MSL AFR female 5
HG03380 MSL AFR female 5
HG03382 MSL AFR male 9
HG03385 MSL AFR male 10
HG03388 MSL AFR male 8
HG03391 MSL AFR male 7
HG03394 MSL AFR male 2
HG03397 MSL AFR male 8
HG03401 MSL AFR female 9
HG03410 MSL AFR female 6
HG03419 MSL AFR female 9
HG03428 MSL AFR female 6
HG03432 MSL AFR male 3
HG03433 MSL AFR male 5
HG03436 MSL AFR male 2
HG03437 MSL AFR female 10
HG03439 MSL AFR male 8
HG03442 MSL AFR male 2
HG03445 MSL AFR male 5
HG03446 MSL AFR female 4
HG03449 MSL AFR female 8
HG03451 MSL AFR male 7
HG03452 MSL AFR female 1
HG03455 MSL AFR female 6
HG03457 MSL AFR male 8
HG03458 MSL AFR female 7
HG03460 MSL AFR male 3
HG03461 MSL AFR female 7
HG03464 MSL AFR female 1
HG03469 MSL AFR male 10
HG03470 MSL AFR female 10
HG03472 MSL AFR male 10
HG03473 MSL AFR female 9
HG03476 MSL AFR female 5
HG03478 MSL AFR male 7
HG03479 MSL AFR female 3
HG03484 MSL AFR male 5
HG03485 MSL AFR female 10
HG03488 PJL SAS female 1
HG03490 PJL SAS male 6
HG03491 PJL SAS female 3
HG03499 ESN AFR female 1
HG03511 ESN AFR female 2
HG03514 ESN AFR female 5
HG03515 ESN AFR male 5
HG03517 ESN AFR female 5
HG03518 ESN AFR male 1
HG03520 ESN AFR female 5
HG03521 ESN AFR male 9
HG03538 GWD AFR male 3
HG03539 GWD AFR female 2
HG03547 MSL AFR male 4
HG03548 MSL AFR female 10
HG03556 MSL AFR male 7
HG03557 MSL AFR female 10
HG03558 MSL AFR female 10
HG03559 MSL AFR male 6
HG03563 MSL AFR female 9
HG03565 MSL AFR male 3
HG03567 MSL AFR female 2
HG03571 MSL AFR male 6
HG03572 MSL AFR female 1
HG03575 MSL AFR female 5
HG03577 MSL AFR male 6
HG03578 MSL AFR female 3
HG03583 MSL AFR female 4
HG03585 BEB SAS male 3
HG03589 BEB SAS female 7
HG03593 BEB SAS male 10
HG03594 BEB SAS male 9
HG03595 BEB SAS female 8
HG03598 BEB SAS female 4
HG03600 BEB SAS male 7
HG03603 BEB SAS male 3
HG03604 BEB SAS female 7
HG03607 BEB SAS female 9
HG03611 BEB SAS female 6
HG03615 BEB SAS male 8
HG03616 BEB SAS female 3
HG03619 PJL SAS female 5
HG03624 PJL SAS male 7
HG03625 PJL SAS female 5
HG03629 PJL SAS male 10
HG03631 PJL SAS female 2
HG03634 PJL SAS female 10
HG03636 PJL SAS male 3
HG03640 PJL SAS female 2
HG03642 STU SAS female 9
HG03643 STU SAS female 1
HG03644 STU SAS male 4
HG03645 STU SAS female 3
HG03646 STU SAS male 4
HG03649 PJL SAS male 6
HG03652 PJL SAS male 1
HG03653 PJL SAS female 4
HG03660 PJL SAS male 3
HG03663 PJL SAS male 5
HG03667 PJL SAS male 6
HG03668 PJL SAS female 3
HG03672 STU SAS male 8
HG03673 STU SAS female 2
HG03679 STU SAS male 1
HG03680 STU SAS male 1
HG03681 STU SAS male 2
HG03684 STU SAS female 3
HG03685 STU SAS male 6
HG03686 STU SAS male 7
HG03687 STU SAS male 5
HG03689 STU SAS female 7
HG03690 STU SAS female 4
HG03691 STU SAS male 7
HG03692 STU SAS female 4
HG03693 STU SAS male 9
HG03694 STU SAS male 6
HG03695 STU SAS male 6
HG03696 STU SAS male 10
HG03697 STU SAS male 7
HG03698 STU SAS female 5
HG03702 PJL SAS male 2
HG03703 PJL SAS female 8
HG03705 PJL SAS male 8
HG03706 PJL SAS female 3
HG03708 PJL SAS male 6
HG03709 PJL SAS female 8
HG03711 STU SAS male 1
HG03713 ITU SAS male 1
HG03714 ITU SAS female 3
HG03716 ITU SAS male 2
HG03717 ITU SAS female 10
HG03718 ITU SAS male 3
HG03720 ITU SAS male 2
HG03722 ITU SAS female 5
HG03727 ITU SAS male 6
HG03729 ITU SAS male 10
HG03730 ITU SAS female 1
HG03731 ITU SAS female 6
HG03733 STU SAS female 10
HG03736 STU SAS female 8
HG03738 STU SAS male 1
HG03740 STU SAS male 2
HG03741 STU SAS female 2
HG03742 ITU SAS male 8
HG03743 STU SAS male 8
HG03744 STU SAS male 10
HG03745 STU SAS male 9
HG03746 STU SAS male 5
HG03750 STU SAS male 10
HG03752 STU SAS female 7
HG03753 STU SAS male 2
HG03754 STU SAS female 2
HG03755 STU SAS male 1
HG03756 STU SAS female 10
HG03757 STU SAS female 3
HG03760 STU SAS female 1
HG03762 PJL SAS female 9
HG03765 PJL SAS female 5
HG03767 PJL SAS male 8
HG03770 ITU SAS female 8
HG03771 ITU SAS male 6
HG03772 ITU SAS female 4
HG03773 ITU SAS male 10
HG03774 ITU SAS female 9
HG03775 ITU SAS male 9
HG03777 ITU SAS male 9
HG03778 ITU SAS male 2
HG03779 ITU SAS male 9
HG03780 ITU SAS female 4
HG03781 ITU SAS female 1
HG03782 ITU SAS female 3
HG03784 ITU SAS female 3
HG03785 ITU SAS male 1
HG03786 ITU SAS male 4
HG03787 ITU SAS female 3
HG03788 ITU SAS male 1
HG03789 ITU SAS female 5
HG03790 ITU SAS male 7
HG03792 ITU SAS male 1
HG03793 BEB SAS female 5
HG03796 BEB SAS female 2
HG03800 BEB SAS male 1
HG03802 BEB SAS female 2
HG03803 BEB SAS male 2
HG03805 BEB SAS female 9
HG03808 BEB SAS female 8
HG03809 BEB SAS male 1
HG03812 BEB SAS male 10
HG03814 BEB SAS female 5
HG03815 BEB SAS male 6
HG03817 BEB SAS female 8
HG03821 BEB SAS male 8
HG03823 BEB SAS female 8
HG03824 BEB SAS male 5
HG03826 BEB SAS female 7
HG03829 BEB SAS female 4
HG03830 BEB SAS male 9
HG03832 BEB SAS female 4
HG03833 BEB SAS male 2
HG03836 STU SAS female 8
HG03837 STU SAS male 5
HG03838 STU SAS female 5
HG03844 STU SAS male 9
HG03846 STU SAS male 6
HG03848 STU SAS male 10
HG03849 STU SAS female 9
HG03850 STU SAS male 8
HG03851 STU SAS male 2
HG03854 STU SAS male 10
HG03856 STU SAS male 4
HG03857 STU SAS female 6
HG03858 STU SAS female 7
HG03861 ITU SAS female 1
HG03862 ITU SAS female 9
HG03863 ITU SAS female 4
HG03864 ITU SAS male 10
HG03866 ITU SAS male 2
HG03867 ITU SAS male 10
HG03868 ITU SAS female 5
HG03869 ITU SAS male 8
HG03870 ITU SAS male 5
HG03871 ITU SAS male 6
HG03872 ITU SAS male 5
HG03873 ITU SAS female 9
HG03874 ITU SAS female 5
HG03875 ITU SAS male 8
HG03882 ITU SAS female 4
HG03884 STU SAS female 6
HG03885 STU SAS male 10
HG03886 STU SAS female 8
HG03887 STU SAS male 10
HG03888 STU SAS female 3
HG03890 STU SAS male 3
HG03894 STU SAS female 9
HG03895 STU SAS female 8
HG03896 STU SAS male 6
HG03897 STU SAS female 9
HG03898 STU SAS female 5
HG03899 STU SAS male 4
HG03900 STU SAS male 5
HG03902 BEB SAS male 5
HG03905 BEB SAS male 2
HG03907 BEB SAS female 1
HG03908 BEB SAS male 7
HG03910 BEB SAS female 3
HG03911 BEB SAS male 7
HG03913 BEB SAS female 3
HG03914 BEB SAS male 2
HG03916 BEB SAS female 3
HG03917 BEB SAS male 1
HG03919 BEB SAS female 4
HG03920 BEB SAS male 6
HG03922 BEB SAS female 4
HG03925 BEB SAS female 10
HG03926 BEB SAS male 9
HG03928 BEB SAS female 9
HG03931 BEB SAS female 6
HG03934 BEB SAS female 9
HG03937 BEB SAS female 4
HG03940 BEB SAS female 5
HG03941 BEB SAS male 10
HG03943 STU SAS male 5
HG03944 STU SAS female 5
HG03945 STU SAS female 8
HG03947 STU SAS female 4
HG03949 STU SAS female 1
HG03950 STU SAS male 6
HG03951 STU SAS female 9
HG03953 STU SAS male 6
HG03955 STU SAS female 8
HG03960 ITU SAS male 4
HG03963 ITU SAS male 8
HG03965 ITU SAS male 7
HG03967 ITU SAS male 4
HG03968 ITU SAS female 5
HG03969 ITU SAS male 6
HG03971 ITU SAS male 8
HG03973 ITU SAS female 6
HG03974 ITU SAS male 10
HG03976 ITU SAS male 6
HG03977 ITU SAS female 10
HG03978 ITU SAS male 3
HG03985 STU SAS male 3
HG03986 STU SAS female 9
HG03989 STU SAS female 4
HG03990 STU SAS male 6
HG03991 STU SAS male 3
HG03995 STU SAS female 7
HG03998 STU SAS male 10
HG03999 STU SAS male 1
HG04001 ITU SAS female 1
HG04002 ITU SAS male 6
HG04003 STU SAS male 10
HG04006 STU SAS male 2
HG04014 ITU SAS female 1
HG04015 ITU SAS male 7
HG04017 ITU SAS male 1
HG04018 ITU SAS female 2
HG04019 ITU SAS male 8
HG04020 ITU SAS male 4
HG04022 ITU SAS male 3
HG04023 ITU SAS male 4
HG04025 ITU SAS female 9
HG04026 ITU SAS female 2
HG04029 STU SAS female 7
HG04033 STU SAS male 10
HG04035 STU SAS female 5
HG04038 STU SAS female 3
HG04039 STU SAS male 3
HG04042 STU SAS female 4
HG04047 STU SAS female 8
HG04054 ITU SAS female 10
HG04056 ITU SAS male 3
HG04059 ITU SAS female 7
HG04060 ITU SAS male 2
HG04061 ITU SAS male 5
HG04062 ITU SAS female 3
HG04063 ITU SAS female 2
HG04070 ITU SAS female 10
HG04075 STU SAS female 2
HG04076 ITU SAS female 7
HG04080 ITU SAS male 8
HG04090 ITU SAS female 7
HG04093 ITU SAS male 10
HG04094 ITU SAS male 5
HG04096 ITU SAS male 3
HG04098 ITU SAS male 7
HG04099 STU SAS female 1
HG04100 STU SAS male 2
HG04106 STU SAS female 3
HG04107 STU SAS male 7
HG04118 ITU SAS female 8
HG04131 BEB SAS male 7
HG04134 BEB SAS male 8
HG04140 BEB SAS male 7
HG04141 BEB SAS female 6
HG04144 BEB SAS female 2
HG04146 BEB SAS male 3
HG04152 BEB SAS male 9
HG04153 BEB SAS female 1
HG04155 BEB SAS male 8
HG04156 BEB SAS female 1
HG04158 BEB SAS male 6
HG04159 BEB SAS female 9
HG04161 BEB SAS male 2
HG04162 BEB SAS female 10
HG04164 BEB SAS male 3
HG04171 BEB SAS female 3
HG04173 BEB SAS male 5
HG04176 BEB SAS male 2
HG04177 BEB SAS female 4
HG04180 BEB SAS female 5
HG04182 BEB SAS male 5
HG04183 BEB SAS female 4
HG04185 BEB SAS male 4
HG04186 BEB SAS female 1
HG04188 BEB SAS male 5
HG04189 BEB SAS female 6
HG04194 BEB SAS male 1
HG04195 BEB SAS female 6
HG04198 ITU SAS male 7
HG04200 ITU SAS female 6
HG04202 ITU SAS female 6
HG04206 ITU SAS male 9
HG04209 ITU SAS female 2
HG04210 STU SAS male 7
HG04211 ITU SAS male 9
HG04212 ITU SAS female 10
HG04214 ITU SAS female 8
HG04216 ITU SAS female 7
HG04219 ITU SAS male 9
HG04222 ITU SAS male 4
HG04225 ITU SAS male 5
HG04227 STU SAS female 9
HG04229 STU SAS male 4
HG04235 ITU SAS male 2
HG04238 ITU SAS male 10
HG04239 ITU SAS male 7
NA06984 CEU EUR male 1
NA06985 CEU EUR female 2
NA06986 CEU EUR male 5
NA06989 CEU EUR female 8
NA06994 CEU EUR male 10
NA07000 CEU EUR female 10
NA07037 CEU EUR female 1
NA07048 CEU EUR male 9
NA07051 CEU EUR male 5
NA07056 CEU EUR female 10
NA07347 CEU EUR male 1
NA07357 CEU EUR male 1
NA10847 CEU EUR female 6
NA10851 CEU EUR male 2
NA11829 CEU EUR male 5
NA11830 CEU EUR female 4
NA11831 CEU EUR male 8
NA11832 CEU EUR female 5
NA11840 CEU EUR female 1
NA11843 CEU EUR male 10
NA11881 CEU EUR male 9
NA11892 CEU EUR female 1
NA11893 CEU EUR male 8
NA11894 CEU EUR female 4
NA11918 CEU EUR female 9
NA11919 CEU EUR male 9
NA11920 CEU EUR female 8
NA11930 CEU EUR male 8
NA11931 CEU EUR female 3
NA11932 CEU EUR male 9
NA11933 CEU EUR female 8
NA11992 CEU EUR male 8
NA11994 CEU EUR male 1
NA11995 CEU EUR female 7
NA12003 CEU EUR male 5
NA12004 CEU EUR female 2
NA12005 CEU EUR male 4
NA12006 CEU EUR female 9
NA12043 CEU EUR male 4
NA12044 CEU EUR female 9
NA12045 CEU EUR male 7
NA12046 CEU EUR female 8
NA12058 CEU EUR female 3
NA12144 CEU EUR male 9
NA12154 CEU EUR male 6
NA12155 CEU EUR male 10
NA12156 CEU EUR female 1
NA12234 CEU EUR female 10
NA12249 CEU EUR female 4
NA12272 CEU EUR male 6
NA12273 CEU EUR female 2
NA12275 CEU EUR female 2
NA12282 CEU EUR male 5
NA12283 CEU EUR female 3
NA12286 CEU EUR male 10
NA12287 CEU EUR female 6
NA12340 CEU EUR male 6
NA12341 CEU EUR female 2
NA12342 CEU EUR male 6
NA12347 CEU EUR male 5
NA12348 CEU EUR female 5
NA12383 CEU EUR female 2
NA12399 CEU EUR male 6
NA12400 CEU EUR female 10
NA12413 CEU EUR male 4
NA12414 CEU EUR female 10
NA12489 CEU EUR female 7
NA12546 CEU EUR male 5
NA12716 CEU EUR male 6
NA12717 CEU EUR female 8
NA12718 CEU EUR female 3
NA12748 CEU EUR male 7
NA12749 CEU EUR female 3
NA12750 CEU EUR male 6
NA12751 CEU EUR female 3
NA12760 CEU EUR male 4
NA12761 CEU EUR female 8
NA12762 CEU EUR male 4
NA12763 CEU EUR female 3
NA12775 CEU EUR male 4
NA12776 CEU EUR female 5
NA12777 CEU EUR male 7
NA12778 CEU EUR female 7
NA12812 CEU EUR male 1
NA12813 CEU EUR female 9
NA12814 CEU EUR male 2
NA12815 CEU EUR female 6
NA12827 CEU EUR male 2
NA12828 CEU EUR female 3
NA12829 CEU EUR male 7
NA12830 CEU EUR female 3
NA12842 CEU EUR male 2
NA12843 CEU EUR female 1
NA12872 CEU EUR male 9
NA12873 CEU EUR female 3
NA12874 CEU EUR male 7
NA12878 CEU EUR female 4
NA12889 CEU EUR male 7
NA12890 CEU EUR female 7
NA18486 YRI AFR male 6
NA18488 YRI AFR female 5
NA18489 YRI AFR female 4
NA18498 YRI AFR male 10
NA18499 YRI AFR female 5
NA18501 YRI AFR male 3
NA18502 YRI AFR female 9
NA18504 YRI AFR male 8
NA18505 YRI AFR female 8
NA18507 YRI AFR male 1
NA18508 YRI AFR female 3
NA18510 YRI AFR male 8
NA18511 YRI AFR female 2
NA18516 YRI AFR male 2
NA18517 YRI AFR female 6
NA18519 YRI AFR male 2
NA18520 YRI AFR female 4
NA18522 YRI AFR male 1
NA18523 YRI AFR female 1
NA18525 CHB EAS female 5
NA18526 CHB EAS female 10
NA18528 CHB EAS female 3
NA18530 CHB EAS male 1
NA18531 CHB EAS female 3
NA18532 CHB EAS female 1
NA18533 CHB EAS female 7
NA18534 CHB EAS male 9
NA18535 CHB EAS female 3
NA18536 CHB EAS male 4
NA18537 CHB EAS female 6
NA18538 CHB EAS female 1
NA18539 CHB EAS female 7
NA18541 CHB EAS female 9
NA18542 CHB EAS female 2
NA18543 CHB EAS male 9
NA18544 CHB EAS male 8
NA18545 CHB EAS female 3
NA18546 CHB EAS male 5
NA18547 CHB EAS female 9
NA18548 CHB EAS male 2
NA18549 CHB EAS male 9
NA18550 CHB EAS female 7
NA18552 CHB EAS female 1
NA18553 CHB EAS female 6
NA18555 CHB EAS female 9
NA18557 CHB EAS male 7
NA18558 CHB EAS male 2
NA18559 CHB EAS male 3
NA18560 CHB EAS female 3
NA18561 CHB EAS male 7
NA18562 CHB EAS male 2
NA18563 CHB EAS male 6
NA18564 CHB EAS female 5
NA18565 CHB EAS female 10
NA18566 CHB EAS female 3
NA18567 CHB EAS female 10
NA18570 CHB EAS female 10
NA18571 CHB EAS female 1
NA18572 CHB EAS male 4
NA18573 CHB EAS female 2
NA18574 CHB EAS female 5
NA18577 CHB EAS female 8
NA18579 CHB EAS female 5
NA18582 CHB EAS female 10
NA18591 CHB EAS female 5
NA18592 CHB EAS female 4
NA18593 CHB EAS female 1
NA18595 CHB EAS female 7
NA18596 CHB EAS female 5
NA18597 CHB EAS female 8
NA18599 CHB EAS female 10
NA18602 CHB EAS female 6
NA18603 CHB EAS male 3
NA18605 CHB EAS male 5
NA18606 CHB EAS male 8
NA18608 CHB EAS male 5
NA18609 CHB EAS male 1
NA18610 CHB EAS female 4
NA18611 CHB EAS male 8
NA18612 CHB EAS male 2
NA18613 CHB EAS male 4
NA18614 CHB EAS female 10
NA18615 CHB EAS female 8
NA18616 CHB EAS female 2
NA18617 CHB EAS female 4
NA18618 CHB EAS female 4
NA18619 CHB EAS female 7
NA18620 CHB EAS male 6
NA18621 CHB EAS male 6
NA18622 CHB EAS male 1
NA18623 CHB EAS male 8
NA18624 CHB EAS male 10
NA18625 CHB EAS female 2
NA18626 CHB EAS female 3
NA18627 CHB EAS female 10
NA18628 CHB EAS female 7
NA18629 CHB EAS male 8
NA18630 CHB EAS female 3
NA18631 CHB EAS female 10
NA18632 CHB EAS male 6
NA18633 CHB EAS male 4
NA18634 CHB EAS female 4
NA18635 CHB EAS male 7
NA18636 CHB EAS male 9
NA18637 CHB EAS male 7
NA18638 CHB EAS male 6
NA18639 CHB EAS male 5
NA18640 CHB EAS female 8
NA18641 CHB EAS female 1
NA18642 CHB EAS female 6
NA18643 CHB EAS male 2
NA18644 CHB EAS female 1
